expense_area,n_txn,gbp_total,n_publishers,a_publisher
DIG TECH PLATFORM IMP EESSI,1,141084.0,1,Department for Work and Pensions
DIG TECH PLATFORM IMP VME R CACS-R,2,37030.0,1,Department for Work and Pensions
DIG TECH PLATFORM IMP VME R MIDDLEWARE,2,10.0,1,Department for Work and Pensions
DIG TECH PLATFORM IMP VME R NEXT PHASE,3593,49237327.8,1,Department for Work and Pensions
DIG TECH PLATFORM OPERATIONS DIGITAL DELIVERY CORE,310,1295626.43,1,Department for Work and Pensions
DIG TECH PLATFORM SHARED DATA SYS CORE,31,69020.0,1,Department for Work and Pensions
DIG TECH PLATFORM SHARED PLATFORMS CORE,9,98720.0,1,Department for Work and Pensions
DIG TECH PLATFORMS GOV GATEWAY,1,29651.0,1,Department for Work and Pensions
DIG TECH PLATFORMS INTEGRATING TECH CORE,29,805230.0,1,Department for Work and Pensions
DIG TECH SERVICES SERVICES IN LIEU,17,1004998.0,1,Department for Work and Pensions
DIG TECHNOLOGY ASSET MANAGEMENT PROJECTS,203,5193423.48,1,Department for Work and Pensions
DIG TECHNOLOGY CHILD MAINTENANCE CORE,129,371524.82,1,Department for Work and Pensions
DIG TECHNOLOGY COO ADMS,13,71803.0,1,Department for Work and Pensions
DIG TECHNOLOGY COO CAPABILITY,58,442404.0,1,Department for Work and Pensions
DIG TECHNOLOGY COO CORE,73,119461.0,1,Department for Work and Pensions
DIG TECHNOLOGY COO GRADUATES,52,2646890.0,1,Department for Work and Pensions
DIG TECHNOLOGY COO OWNED ASSETS DEL A,1,72473.0,1,Department for Work and Pensions
DIG TECHNOLOGY COO OWNED ASSETS DEL P,1,108.0,1,Department for Work and Pensions
DIG TECHNOLOGY WORKING AGE CORE,9,646.0,1,Department for Work and Pensions
DIG TECHPLAT-01 CPS SECURITY,402,3373851.0,1,Department for Work and Pensions
DIG TESTING AND QA JOB FAMILY,52,104322.12,1,Department for Work and Pensions
DIG TPAS & TRAPS,55,124964.0,1,Department for Work and Pensions
DIG TRANSFORMATION ECSS CP AND IDV - DEL P,2,74077.0,1,Department for Work and Pensions
DIG TRANSFORMATION TRANSITIONAL HOSTING SERVICES,254,10005175.44,1,Department for Work and Pensions
DIG TRANSITIONAL HOSTING SERVICE,289,90855235.83,1,Department for Work and Pensions
DIG TS-BUSINESS MANAGEMENT,81,693011.0,1,Department for Work and Pensions
DIG TS-ENGINEERING,2,51125.0,1,Department for Work and Pensions
DIG TS-HYBRID CLOUD,157,402896.0,1,Department for Work and Pensions
DIG TS-INFRASTRUCTURE SERVICES,222,697685.0,1,Department for Work and Pensions
DIG TS-OPERATIONS,549,1505315.0,1,Department for Work and Pensions
DIG TS-SECURITY,245,767406.0,1,Department for Work and Pensions
DIG TS-SITE RELIABILITY ENGINEERING,517,1873859.0,1,Department for Work and Pensions
DIG TS-TECHNOLOGY ASSET MANAGEMENT,81,198681.0,1,Department for Work and Pensions
DIG UC CORE,33,574199.0,1,Department for Work and Pensions
DIG UC INITIATIVES,374,3540254.22,1,Department for Work and Pensions
DIG UC OWNED ASSETS DEL P,2,25.0,1,Department for Work and Pensions
DIG UNIFIED COMMS MAINTENANCE,3,103732.0,1,Department for Work and Pensions
DIG UNIFIED COMMS SERVICE,27,1660185.0,1,Department for Work and Pensions
DIG UNIFIED COMMS SUPPORT,1,51376.0,1,Department for Work and Pensions
DIG USER RESEARCH & USER EXPERIENCE,62,57666.82,1,Department for Work and Pensions
DIG USER RESEARCH JOB FAMILY,16,30011.0,1,Department for Work and Pensions
DIG USS MAINTENANCE,6,776506.0,1,Department for Work and Pensions
DIG USS SERVICE DESK,18,885823.0,1,Department for Work and Pensions
DIG USS STAFFING,2,1370.0,1,Department for Work and Pensions
DIG USS STAFFING DEL P,4,64666.0,1,Department for Work and Pensions
DIG VME-R MAINTENANCE,27,7583887.0,1,Department for Work and Pensions
DIG VME-R STAFFING,4,3651.0,1,Department for Work and Pensions
DIG WA & UC DATA OUTCOMES,47,74950.72,1,Department for Work and Pensions
DIG WA & UC DATA WORKS PLATFORM,100,543539.34,1,Department for Work and Pensions
DIG WA & UC PDU DESIGN & IMPLEMENTATION,19,72992.0,1,Department for Work and Pensions
DIG WA & UC PRODUCT DEVELOPMENT UNIT,232,617196.0,1,Department for Work and Pensions
DIG WA & UC UC BOM,10,27316.0,1,Department for Work and Pensions
DIG WA & UC UC LIVE SERVICE,37,140662.0,1,Department for Work and Pensions
DIG WA & UC UC PLATFORMS,63,568343.24,1,Department for Work and Pensions
DIG WA & UC UC PROD OPS,4,664.0,1,Department for Work and Pensions
DIG WA & UC UNIVERSAL JOBMATCH,30,7507970.0,1,Department for Work and Pensions
DIG WA INITIATIVES,1214,12333372.18,1,Department for Work and Pensions
DIG WA MAINTENANCE DEL P,2,110559.0,1,Department for Work and Pensions
DIG WA SOFTWARE & SERVICES DEL P,11,2472129.0,1,Department for Work and Pensions
DIG WA TACTICAL TRANSFORMATION DEL P,19,2512162.0,1,Department for Work and Pensions
DIG WORKING AGE - BAU DEL P,75,1026896.0,1,Department for Work and Pensions
DIG WORKING AGE - PEOPLE DEL P,56,128952.0,1,Department for Work and Pensions
DIG WORKING AGE INITIATIVES DEL P,110,1495239.0,1,Department for Work and Pensions
DIG WORKPLACE COMPUTING MAINTENANCE,40,20821893.0,1,Department for Work and Pensions
DIG WORKPLACE COMPUTING SERVICE,224,77057185.0,1,Department for Work and Pensions
DIG WORKPLACE COMPUTING SERVICE DEL P,1,666750.0,1,Department for Work and Pensions
DIGITAL,82,6482362.9,1,Coventry and Warwickshire Partnership NHS Trust
DIGITAL & EDTECH,6,255867.2,1,Department for Education
DIGITAL AME,1,621530.0,1,Department for Work and Pensions
DIGITAL AND TRANSFORMATION TOTAL,34,1231645.2,1,Department for Education
DIGITAL DIRECTORATE TOTAL,2,12.0,1,Department for Education
DIGITAL EPR,4,181118.3,1,Coventry and Warwickshire Partnership NHS Trust
DIGITAL JUSTICE,1,42640.0,1,Cabinet Office
DIGITAL Services,6,316632.6,1,Coventry and Warwickshire Partnership NHS Trust
DIGITAL Systems Management,1,55513.78,1,Coventry and Warwickshire Partnership NHS Trust
DIGITAL TOTAL,35,800392.32,1,Department for Education
DIGITAL services,1,474800.0,1,Coventry and Warwickshire Partnership NHS Trust
DIO-Defence Infrastructure Organisation - Security Services Group,11,592910.9,1,Ministry of Defence
DIO-SSG,137,12089055.92,1,Ministry of Defence
DIR Comms Marketing,303,780325.19,1,Natural History Museum
DIR Comms Media & External Relations,63,78019.91,1,Natural History Museum
DIR Communications Central,62,17554.83,1,Natural History Museum
DIR Development,99,101939.71,1,Natural History Museum
DIR FACILITIES MANAGEMENT,9,354055.75,1,United Lincolnshire Hospitals NHS Trust
DIR FIN PROCMT AND INFORMATICS,8,443711.98,1,United Lincolnshire Hospitals NHS Trust
DIR Internal Comms,19,26091.6,1,Natural History Museum
DIR NURSING AND PATIENT SERVS,18,827083.45,1,United Lincolnshire Hospitals NHS Trust
DIR OF FACILITIES / ESTATE,7,973745.96,1,United Lincolnshire Hospitals NHS Trust
DIR OF HUMAN RESOURCES,2,1716.5,1,United Lincolnshire Hospitals NHS Trust
DIR STRATEGY AND PERFORMANCE,7,298861.0,1,United Lincolnshire Hospitals NHS Trust
DIRECTGOV,381,7788392.71,2,Cabinet Office
DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,596,33551966.01,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF ESTATES & FACIL,568,35023537.28,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF ESTATES & FACILITIES,425,27573118.32,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF FACILITIES MANAGEMENT,589,34075260.88,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF FIN & CORP AFFAIR,39,3529486.3,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF FINANCE,116,7266479.72,3,Maidstone and Tunbridge Wells NHS Trust
DIRECTOR OF FINANCE & CORPORATE AFFAIRS,285,38869440.12,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF FINANCE & DIGITAL,161,10320966.41,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,197,22646317.81,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF HR,10,54527.25,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF HR & ORG DEV,5,223031.0,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF HUMAN RESOURCES,36,311291.18,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF HUMAN RESOURCES & ORGANISATIONAL DEVT,25,308579.3,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF NURSING,417,45348324.59,2,Portsmouth Hospital NHS Trust
DIRECTOR OF NURSING & PATIENT SERVICES,340,23326574.57,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF OPERATIONS,109,11432134.51,3,"Department for Environment, Food and Rural Affairs"
DIRECTOR OF PEOPLE & OD,20,952857.04,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF PERF IMPROVEMENT,77,5914711.93,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF PERFORMANCE,1,76500.0,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF PERFORMANCE IMPROVEMENT,40,2491109.63,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF SERVICE DELIVERY,130,31724306.42,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF SERVICE DELIVERY - BOSTON & SKEGNESS,10,23963268.7,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF SERVICE DELIVERY - GENERAL MEDICINE & A&E BOSTON,1,21480.0,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF SERVICE DELIVERY - GENERAL MEDICINE & A&E LINCOLN,22,979686.72,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF SERVICE DELIVERY - GENERAL SURGERY BOSTON,67,2137426.05,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF SERVICE DELIVERY - GENERAL SURGERY LINCOLN,1,1685.85,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF SERVICE DELIVERY - HEAD & NECK (PAN TRUST),1,461.0,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF SERVICE DELIVERY - LINCOLN & LOUTH,17,5077297.31,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF SERVICE DELIVERY - MEDICAL SPECIALTIES,5,171646.99,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF SERVICE DELIVERY - ONCOLOGY & HAEMATOLOGY,17,885252.28,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF SERVICE DELIVERY - ORTHOPAEDICS LINCOLN,5,257190.92,1,United Lincolnshire Hospitals NHS Trust
"DIRECTOR OF SERVICE DELIVERY - WOMENS & CHILDRENS, BOSTON & GRANTHAM",32,5644672.49,1,United Lincolnshire Hospitals NHS Trust
"DIRECTOR OF SERVICE DELIVERY - WOMENS & CHILDRENS, LINCOLN & LOUTH",31,7112038.65,1,United Lincolnshire Hospitals NHS Trust
DIRECTOR OF STRATEGY AND PERFORMANCE,4,186672.12,1,United Lincolnshire Hospitals NHS Trust
DIRECTORATE MNGT NON STAFF,6,43.7,1,Salisbury NHS Foundation Trust
DIRECTORATE OF CHILDS HEALTH,21,1500394.04,1,United Lincolnshire Hospitals NHS Trust
DIRECTORATE OF FINANCE & CORPORATE AFFAIRS,192,21077461.14,1,United Lincolnshire Hospitals NHS Trust
DIRECTORATE OF WOMENS HEALTH,12,2898383.67,1,United Lincolnshire Hospitals NHS Trust
DIREGR,3,5346.8,1,Eden District Council
DIRFIN,1,6000.0,1,Eden District Council
DISABLED FACILITIES GRANTS,947,303789330.0,1,"Ministry of Housing, Communities and Local Government"
DISCHARGE TEAM,4,65.64,1,Salisbury NHS Foundation Trust
DISCOVERY AND PROTOTYPES FOR CROSS GOV TOOLS FOR CS,1,27360.0,1,Cabinet Office
DISTRICT ELECTRONICS,6,206.14,1,Salisbury NHS Foundation Trust
DISTRICT PHARMACY DEPT,133,299311.05,1,Salisbury NHS Foundation Trust
DIT non pay,14,1107256.61,1,National Institute for Health and Care Excellence
DMO,63,5298034.27,1,HM Treasury
DMO Finance,2,38183.08,1,HM Treasury
DNU 14 Deercote Hollinswood Premises,19,1337.62,1,Shropshire Community Health NHS Trust
DNU 15 Deercote Hortonwood Premises,10,168.0,1,Shropshire Community Health NHS Trust
DNU APCS - Management - Telford and Wrekin,27,81824.59,1,Shropshire Community Health NHS Trust
DNU Albrighton Medical Practice,12,60.0,1,Shropshire Community Health NHS Trust
DNU Bridgnorth Hospital Physiotherapy,3,73.28,1,Shropshire Community Health NHS Trust
DNU CAMHS Admin,2,97.0,1,Shropshire Community Health NHS Trust
DNU CAMHS Management,4,251.28,1,Shropshire Community Health NHS Trust
DNU Capacity Hub,8,6.0,1,Shropshire Community Health NHS Trust
DNU Chairman and Chief Executives Office,4,9117.77,1,Shropshire Community Health NHS Trust
DNU Children & Families SDG Management,4,6.6,1,Shropshire Community Health NHS Trust
DNU Community Equipment Service,24,117.78,1,Shropshire Community Health NHS Trust
DNU Community Medical Staff (T&W),115,19777.82,1,Shropshire Community Health NHS Trust
DNU Community Services Division Management,4,1008.32,1,Shropshire Community Health NHS Trust
DNU Dawley GP Premises,12,384.0,1,Shropshire Community Health NHS Trust
DNU Dawley HC Estates,4,3760.0,1,Shropshire Community Health NHS Trust
DNU Dudley School Nurses,66,11651.6,1,Shropshire Community Health NHS Trust
DNU Dudley Schools Various,4,1526.4,1,Shropshire Community Health NHS Trust
DNU Ellesmere Medical Practice,12,24.0,1,Shropshire Community Health NHS Trust
DNU Family Connect,10,10.83,1,Shropshire Community Health NHS Trust
DNU Hollinswood Infants Premises,12,24.0,1,Shropshire Community Health NHS Trust
DNU Lady Forrester Much Wenlock,21,3085.37,1,Shropshire Community Health NHS Trust
DNU Ludlow Hospital Physiotherapy,17,108.19,1,Shropshire Community Health NHS Trust
DNU Ludlow Outpatient Service Admin,29,810.36,1,Shropshire Community Health NHS Trust
DNU MSK Rheumatology,1,60.0,1,Shropshire Community Health NHS Trust
DNU Mercian House,20,486.58,1,Shropshire Community Health NHS Trust
DNU Montford House,1,33.43,1,Shropshire Community Health NHS Trust
DNU NCA Income,1,69.06,1,Shropshire Community Health NHS Trust
DNU North Shropshire PHNS,16,1213.94,1,Shropshire Community Health NHS Trust
DNU Occupational Health Commercial,117,14192.88,1,Shropshire Community Health NHS Trust
DNU Princess House,12,1212.0,1,Shropshire Community Health NHS Trust
DNU Quality and Nursing Management,4,83638.1,1,Shropshire Community Health NHS Trust
DNU Rapid Response,1,96.25,1,Shropshire Community Health NHS Trust
DNU SMS Service,55,12783.79,1,Shropshire Community Health NHS Trust
DNU Shrewsbury and Atcham South Interdisciplinary Teams,8,632.29,1,Shropshire Community Health NHS Trust
DNU T&W Primary CAMHS Service,3,120.0,1,Shropshire Community Health NHS Trust
DNU TeMS Therapy,30,542.25,1,Shropshire Community Health NHS Trust
DNU Telford 0-19 HCP Community First Team 1,254,16276.49,1,Shropshire Community Health NHS Trust
DNU Telford 0-19 HCP Community First Team 2,679,14237.2,1,Shropshire Community Health NHS Trust
DNU Telford 0-19 HCP Family First Team,3,147.24,1,Shropshire Community Health NHS Trust
DNU Telford Child Development Centre,124,21709.95,1,Shropshire Community Health NHS Trust
DNU Telford LAC Nurses,6,-460.8,1,Shropshire Community Health NHS Trust
DNU Telford PHNS - FNP,118,2505.26,1,Shropshire Community Health NHS Trust
DNU Telford PHNS - School Nurses,54,1060.14,1,Shropshire Community Health NHS Trust
DNU Trainee Health Visitors,38,701.2,1,Shropshire Community Health NHS Trust
DNU Wheelchairs Management,4,19.22,1,Shropshire Community Health NHS Trust
DNU Whitchurch Hospital Physiotherapy,6,7.24,1,Shropshire Community Health NHS Trust
DO NOT USE,3,928.0,1,UK Shared Business Services
DO NOT USE - Community Matrons Telford,9,2648.94,1,Shropshire Community Health NHS Trust
DO NOT USE - Ludlow Hospital Occupational Therapy,2,55.1,1,Shropshire Community Health NHS Trust
DO NOT USE - Quality Governance,1,167655.0,1,Isle of Wight NHS Trust
